Question_Id,Question_Text,Option_A_Text,Option_B_Text,Option_C_Text,Option_D_Text,Question_Topic,Targeted_Symptoms,Difficulty_Level
Q1,Do you have little interest or pleasure in doing things?,Never,Sometimes,Often,Always,Depression,"Low mood, Fatigue",3
Q2,"Do you often feel down, depressed, or hopeless?",Never,Sometimes,Often,Always,Depression,"Low mood, Fatigue",3
Q3,"Do you have trouble falling asleep, staying asleep, or do you sleep too much?",Never,Sometimes,Often,Always,Anxiety,"Worry, Restlessness",3
Q4,Do you often feel tired or like you have little energy?,Never,Sometimes,Often,Always,Depression,"Low mood, Fatigue",3
Q5,Do you have a poor appetite or do you find yourself overeating?,Never,Sometimes,Often,Always,Depression,"Low mood, Fatigue",3
Q6,Do you feel bad about yourself or that you have failed or let others down?,Never,Sometimes,Often,Always,Depression,"Low mood, Fatigue",3
Q7,Do you have trouble concentrating on things like reading or watching television?,Never,Sometimes,Often,Always,Anxiety,"Worry, Restlessness",3
Q8,"Have others noticed that you move or speak more slowly than usual, or that you're unusually restless?",Never,Sometimes,Often,Always,Anxiety,"Worry, Restlessness",3
Q9,Have you had thoughts of harming yourself or feeling like you'd be better off dead?,Never,Sometimes,Often,Always,Anxiety,"Worry, Restlessness",5
Q10,"In the last month, how often have you been upset because of something that happened unexpectedly?",Never,Sometimes,Often,Always,Anxiety,"Worry, Restlessness",3
Q11,"In the last month, how often have you felt that you were unable to control the important things in your life?",Never,Sometimes,Often,Always,Stress,"Overwhelm, Irritability",3
Q12,"In the last month, how often have you felt nervous and stressed?",Never,Sometimes,Often,Always,Stress,"Overwhelm, Irritability",3
Q13,"In the last month, how often have you felt confident about your ability to handle your personal problems?",Never,Sometimes,Often,Always,Anxiety,"Worry, Restlessness",3
Q14,"In the last month, how often have you felt that things were going your way?",Never,Sometimes,Often,Always,Anxiety,"Worry, Restlessness",3
Q15,"In the last month, how often have you found that you could not cope with all the things that you had to do?",Never,Sometimes,Often,Always,Stress,"Overwhelm, Irritability",3
Q16,"In the last month, how often have you been able to control irritations in?",Never,Sometimes,Often,Always,Stress,"Overwhelm, Irritability",3
Q17,"In the last month, how often have you felt that you were on top of things?",Never,Sometimes,Often,Always,Anxiety,"Worry, Restlessness",3
Q18,"In the last month, how often have you been angered because of things that happened that were outside of your control?",Never,Sometimes,Often,Always,Anxiety,"Worry, Restlessness",3
Q19,"In the last month, how often have you felt difficulties were piling up so high that you could not overcome them?",Never,Sometimes,Often,Always,Anxiety,"Worry, Restlessness",3
Q20,"Are you Feeling nervous, anxious, or on edge?",Never,Sometimes,Often,Always,Anxiety,"Worry, Restlessness",3
Q21,Are you Not being able to stop or control worrying?,Never,Sometimes,Often,Always,Stress,"Overwhelm, Irritability",3
Q22,Are you worrying too much about different things?,Never,Sometimes,Often,Always,Anxiety,"Worry, Restlessness",3
Q23,Do you have trouble relaxing?,Never,Sometimes,Often,Always,Anxiety,"Worry, Restlessness",3
Q24,Do you feel so restless that it is hard to sit still?,Never,Sometimes,Often,Always,Anxiety,"Worry, Restlessness",3
Q25,Are you Becoming easily annoyed or irritable?,Never,Sometimes,Often,Always,Stress,"Overwhelm, Irritability",3
Q26,"D you Feel afraid, as if something awful might happen?",Never,Sometimes,Often,Always,Anxiety,"Worry, Restlessness",3
Q27,"Repeated, disturbing, and unwanted memories of the stressful experience?",Never,Sometimes,Often,Always,Anxiety,"Worry, Restlessness",3
Q28,"Repeated, disturbing dreams of the stressful experience?",Never,Sometimes,Often,Always,Stress,"Overwhelm, Irritability",3
Q29,Suddenly feeling or acting as if the stressful experience were actually happening again (as if you were actually back there reliving it)?,Never,Sometimes,Often,Always,Stress,"Overwhelm, Irritability",3
Q30,Feeling very upset when something reminded you of the stressful experience?,Never,Sometimes,Often,Always,Anxiety,"Worry, Restlessness",3
Q31,"Having strong physical reactions when something reminded you of the stressful experience (for example, heart pounding, trouble breathing, sweating)?",Never,Sometimes,Often,Always,Anxiety,"Worry, Restlessness",3
Q32,"Avoiding memories, thoughts, or feelings related to the stressful experiences(for example, people, places, conversations, activities,??",Never,Sometimes,Often,Always,Anxiety,"Worry, Restlessness",3
Q33,"Avoiding external reminders of the stressful experience (for example, people, places, conversations, activities)?",Never,Sometimes,Often,Always,Stress,"Overwhelm, Irritability",3
Q34,Trouble remembering important parts of the stressful experience?,Never,Sometimes,Often,Always,Stress,"Overwhelm, Irritability",3
Q35,"Having strong negative beliefs about yourself, other people, or the world (for example, having thoughts such as: I am bad, there is something seriously wrong with me, no one can be trusted, the world is completely dangerous)?",Never,Sometimes,Often,Always,Anxiety,"Worry, Restlessness",3
Q36,Blaming yourself or someone else for the stressful?,Never,Sometimes,Often,Always,Stress,"Overwhelm, Irritability",3
Q37,experience or what happened after it?,Never,Sometimes,Often,Always,Anxiety,"Worry, Restlessness",3
Q38,"Having strong negative feelings such as fear, horror, anger,guilt, or shame?",Never,Sometimes,Often,Always,Anxiety,"Worry, Restlessness",3
Q39,Loss of interest in activities that you used to enjoy?,Never,Sometimes,Often,Always,Depression,"Low mood, Fatigue",3
Q40,Feeling distant or cut off from other people?,Never,Sometimes,Often,Always,Anxiety,"Worry, Restlessness",3
Q41,"Trouble experiencing positive feelings (for example,being unable to feel happiness or have loving feelings for people close to you)?",Never,Sometimes,Often,Always,Anxiety,"Worry, Restlessness",3
Q42,"Irritable behavior, angry outbursts, or acting aggressively?",Never,Sometimes,Often,Always,Stress,"Overwhelm, Irritability",3
